[0.181s] Invoking command in '/home/home/dcp_ws/build/robotiq_description': CMAKE_PREFIX_PATH=/home/home/dcp_ws/install/robotiq_description:/home/home/dcp_ws/install/isaacsim:/home/home/dcp_ws/install/fairino_rviz:/home/home/dcp_ws/install/fairino_action_manager:/home/home/dcp_ws/install/fairino_interfaces:/home/home/dcp_ws/install/fairino_description:/home/home/dcp_ws/install/dh_robotics_ag95_description:/home/home/dcp_ws/install/pak_hqp_controller:/home/home/dcp_ws/install/kimm_hqp_controller:/home/home/dcp_ws/install/kimm_trajectory_smoother:/home/home/dcp_ws/install/isaacsim_ros2:/home/home/kimm_ws/install/rb5_action_manager:/opt/ros/humble:/home/home/dcp_ws/install/kimm_qpoases:/home/home/gello_ws/install/franka_plugin:/home/home/gello_ws/install/franka_description:/home/home/gello_ws/install/dynamixel_sdk_examples:/home/home/gello_ws/install/dynamixel_sdk_custom_interfaces:/home/home/gello_ws/install/dynamixel:/home/home/gello_ws/install/dynamixel_sdk:/home/home/kimm_ws/install/rbpodo_bringup:/home/home/kimm_ws/install/rbpodo_hardware:/home/home/kimm_ws/install/rbpodo_msgs:/home/home/kimm_ws/install/rb3_730es_u_moveit_config:/home/home/kimm_ws/install/rbpodo_description:/home/home/kimm_ws/install/rb5_gui_manager:/home/home/kimm_ws/install/action_interface /usr/bin/cmake --build /home/home/dcp_ws/build/robotiq_description -- -j10 -l10
[0.254s] Invoked command in '/home/home/dcp_ws/build/robotiq_description' returned '0': CMAKE_PREFIX_PATH=/home/home/dcp_ws/install/robotiq_description:/home/home/dcp_ws/install/isaacsim:/home/home/dcp_ws/install/fairino_rviz:/home/home/dcp_ws/install/fairino_action_manager:/home/home/dcp_ws/install/fairino_interfaces:/home/home/dcp_ws/install/fairino_description:/home/home/dcp_ws/install/dh_robotics_ag95_description:/home/home/dcp_ws/install/pak_hqp_controller:/home/home/dcp_ws/install/kimm_hqp_controller:/home/home/dcp_ws/install/kimm_trajectory_smoother:/home/home/dcp_ws/install/isaacsim_ros2:/home/home/kimm_ws/install/rb5_action_manager:/opt/ros/humble:/home/home/dcp_ws/install/kimm_qpoases:/home/home/gello_ws/install/franka_plugin:/home/home/gello_ws/install/franka_description:/home/home/gello_ws/install/dynamixel_sdk_examples:/home/home/gello_ws/install/dynamixel_sdk_custom_interfaces:/home/home/gello_ws/install/dynamixel:/home/home/gello_ws/install/dynamixel_sdk:/home/home/kimm_ws/install/rbpodo_bringup:/home/home/kimm_ws/install/rbpodo_hardware:/home/home/kimm_ws/install/rbpodo_msgs:/home/home/kimm_ws/install/rb3_730es_u_moveit_config:/home/home/kimm_ws/install/rbpodo_description:/home/home/kimm_ws/install/rb5_gui_manager:/home/home/kimm_ws/install/action_interface /usr/bin/cmake --build /home/home/dcp_ws/build/robotiq_description -- -j10 -l10
[0.255s] Invoking command in '/home/home/dcp_ws/build/robotiq_description': CMAKE_PREFIX_PATH=/home/home/dcp_ws/install/robotiq_description:/home/home/dcp_ws/install/isaacsim:/home/home/dcp_ws/install/fairino_rviz:/home/home/dcp_ws/install/fairino_action_manager:/home/home/dcp_ws/install/fairino_interfaces:/home/home/dcp_ws/install/fairino_description:/home/home/dcp_ws/install/dh_robotics_ag95_description:/home/home/dcp_ws/install/pak_hqp_controller:/home/home/dcp_ws/install/kimm_hqp_controller:/home/home/dcp_ws/install/kimm_trajectory_smoother:/home/home/dcp_ws/install/isaacsim_ros2:/home/home/kimm_ws/install/rb5_action_manager:/opt/ros/humble:/home/home/dcp_ws/install/kimm_qpoases:/home/home/gello_ws/install/franka_plugin:/home/home/gello_ws/install/franka_description:/home/home/gello_ws/install/dynamixel_sdk_examples:/home/home/gello_ws/install/dynamixel_sdk_custom_interfaces:/home/home/gello_ws/install/dynamixel:/home/home/gello_ws/install/dynamixel_sdk:/home/home/kimm_ws/install/rbpodo_bringup:/home/home/kimm_ws/install/rbpodo_hardware:/home/home/kimm_ws/install/rbpodo_msgs:/home/home/kimm_ws/install/rb3_730es_u_moveit_config:/home/home/kimm_ws/install/rbpodo_description:/home/home/kimm_ws/install/rb5_gui_manager:/home/home/kimm_ws/install/action_interface /usr/bin/cmake --install /home/home/dcp_ws/build/robotiq_description
[0.303s] -- Install configuration: ""
[0.303s] -- Execute custom install script
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/config/robotiq_controllers.yaml
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/launch/robotiq_control.launch.py
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/launch/view_gripper.launch.py
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_140/robotiq_2f_140_base_link.stl
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_140/robotiq_2f_140_coupling.stl
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_140/robotiq_2f_140_inner_finger.stl
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_140/robotiq_2f_140_inner_knuckle.stl
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_140/robotiq_2f_140_outer_finger.stl
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_140/robotiq_2f_140_outer_knuckle.stl
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_85/left_finger.stl
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_85/left_finger_tip.stl
[0.303s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_85/left_inner_knuckle.stl
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_85/left_knuckle.stl
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_85/right_finger.stl
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_85/right_finger_tip.stl
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_85/right_inner_knuckle.stl
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_85/right_knuckle.stl
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_85/robotiq_base.stl
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/collision/2f_85/ur_to_robotiq_adapter.stl
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/fairino5_v6/base_link.STL
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/fairino5_v6/forearm_link.STL
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/fairino5_v6/shoulder_link.STL
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/fairino5_v6/upperarm_link.STL
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/fairino5_v6/wrist1_link.STL
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/fairino5_v6/wrist2_link.STL
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/fairino5_v6/wrist3_link.STL
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_140/robotiq_2f_140_base_link.stl
[0.304s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_140/robotiq_2f_140_coupling.stl
[0.305s] -- Up-to-date symlink: /home/home/dcp_ws/install/robotiq_description/share/robotiq_description/meshes/visual/2f_140/robotiq_2f_140_inner_finger.stl
